Date,Open,High,Low,Close,Volume,"Daily Change %"
10-Aug-2018,653.65,654.9,639.1,641.5,3855335,-1.86
10-Aug-2018,644,646.15,627.2,631.35,2269581,-1.96
10-Aug-2018,624,634.6,612.4,632.05,3542338,1.29
10-Aug-2018,632.9,649.65,623.65,645.1,3040306,1.93
10-Aug-2018,648,658.75,646.3,655.45,3393232,1.15
10-Aug-2018,661,684.9,661,680.75,9680690,2.99
10-Aug-2018,684.4,687.5,672.6,681.1,2887901,-0.48
10-Aug-2018,678.8,683.35,666.5,669,1958340,-1.44
10-Aug-2018,672,674.95,654.75,662.75,2862463,-1.38
10-Aug-2018,662.75,672.95,662.75,667.1,2226904,0.66
10-Aug-2018,670,674.75,652,658.75,2689721,-1.68
10-Aug-2018,660,666.9,650.5,653.9,2074919,-0.92
09-Aug-2018,655,658.5,643.9,646.2,2146227,-1.34
30-Dec-2016,482,493,482,488.9,1817123,1.43
29-Dec-2016,471.05,484.45,469.5,482.7,2079991,2.47
28-Dec-2016,469,477,469,474.15,1658315,1.10
27-Dec-2016,460.5,474,460.05,468.2,1061513,1.67
26-Dec-2016,463.25,468.05,460.4,463.6,572307,0.08
23-Dec-2016,474,477.45,465.25,467.1,942216,-1.46
22-Dec-2016,472.3,477.2,464.55,473.95,932766,0.35
21-Dec-2016,478,479.6,472.5,474.45,667563,-0.74
20-Dec-2016,476.9,480.75,473.65,476.75,1919780,-0.03
19-Dec-2016,474,475.6,470.45,473.35,1389090,-0.14
16-Dec-2016,481.4,482.1,475,477.15,2185723,-0.88
